id,icij_sar_id,filer_org_name_id,filer_org_name,begin_date,begin_date_year,end_date,end_date_year,originator_bank_id,originator_bank,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions
223254,3297,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 25, 2015",2015,"Sep 25, 2015",2015,cimb-bank-berhad,CIMB Bank Berhad,Singapore,SGP,barclays-bank-plc-london-england-gbr,Barclays Bank Plc,United Kingdom,GBR,68,56900000.00
223255,3297,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 30, 2015",2015,"Sep 25, 2015",2015,cimb-bank-berhad,CIMB Bank Berhad,Singapore,SGP,barclays-bank-plc-london-england-gbr,Barclays Bank Plc,United Kingdom,GBR,118,116000000.00
223258,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jul 5, 2012",2012,"Jul 5, 2012",2012,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,skandinaviska-enskilda-banken-stockholm-sweden-swe,Skandinaviska Enskilda Banken,Sweden,SWE,,5000.00
223259,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 20, 2012",2012,"Jun 20, 2012",2012,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,skandinaviska-enskilda-banken-stockholm-sweden-swe,Skandinaviska Enskilda Banken,Sweden,SWE,,9990.00
223260,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"May 31, 2012",2012,"May 31, 2012",2012,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,skandinaviska-enskilda-banken-stockholm-sweden-swe,Skandinaviska Enskilda Banken,Sweden,SWE,,12000.00
223261,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"May 29, 2012",2012,"May 29, 2012",2012,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,skandinaviska-enskilda-banken-stockholm-sweden-swe,Skandinaviska Enskilda Banken,Sweden,SWE,,88.03
223262,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"May 29, 2012",2012,"May 29, 2012",2012,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,skandinaviska-enskilda-banken-stockholm-sweden-swe,Skandinaviska Enskilda Banken,Sweden,SWE,,13000.00
223263,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"May 22, 2012",2012,"May 22, 2012",2012,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,skandinaviska-enskilda-banken-stockholm-sweden-swe,Skandinaviska Enskilda Banken,Sweden,SWE,,6990.00
223264,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"May 21, 2012",2012,"May 21, 2012",2012,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,skandinaviska-enskilda-banken-stockholm-sweden-swe,Skandinaviska Enskilda Banken,Sweden,SWE,,8000.00
223265,2924,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"May 21, 2012",2012,"May 21, 2012",2012,barclays-bank-plc-ho-uk,Barclays Bank Plc Ho UK,United Kingdom,GBR,skandinaviska-enskilda-banken-stockholm-sweden-swe,Skandinaviska Enskilda Banken,Sweden,SWE,,6990.00
