id,icij_sar_id,filer_org_name_id,filer_org_name,filer_org_name_display,begin_date,begin_date_year,end_date,end_date_year,originator_bank_id,originator_bank,originator_bank_continent,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_continent,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions
223656,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,state-bank-of-india-mumbai-india-ind,State Bank of India,Asia,India,IND,1,2841.82
223657,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,state-bank-of-india-nanganallur-india-ind,State Bank of India,Asia,India,IND,1,2991.82
223658,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,state-bank-of-india-etah-india-ind,State Bank of India,Asia,India,IND,1,2991.82
223659,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,punjab-national-bank-kohanda-india-ind,Punjab National Bank,Asia,India,IND,1,3291.82
223660,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,lloyds-bank-plc-windsor-uk-gbr,Lloyds Bank Plc,Europe,United Kingdom,GBR,1,3291.82
223661,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,hong-kong-shanghai-bnk-corp-hong-kong-hkg,Hong Kong & Shanghai Bnk Corp,Asia,Hong Kong,HKG,1,3665.82
223662,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,mega-intl-comml-bk-singapore-sgp,Mega Int'L Comm'L Bk,Asia,Singapore,SGP,1,4111.82
223663,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,hdfc-bank-limited-mumbai-india-ind,Hdfc Bank Limited,Asia,India,IND,1,5991.82
223664,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,union-bank-of-india-mumbai-india-ind,Union Bank of India,Asia,India,IND,1,5991.82
223665,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,axis-bank-mohalla-india-ind,Axis Bank,Asia,India,IND,1,6891.82
223666,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,state-bank-of-india-mumbai-india-ind,State Bank of India,Asia,India,IND,1,6951.82
223667,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,hdfc-bank-limited-mumbai-india-ind,Hdfc Bank Limited,Asia,India,IND,1,11241.82
223668,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,icici-bank-madurai-india-ind,Icici Bank,Asia,India,IND,1,11991.82
223669,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,indian-overseas-bank-attur-india-ind,Indian Overseas Bank,Asia,India,IND,2,12923.64
223670,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 20, 2014",2014,"Apr 20, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,jp-morgan-chase-brooklyn-ny-usa,JPMorgan Chase,North America,United States,USA,1,42986.36
223683,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 11, 2014",2014,"Feb 26, 2014",2014,berenberg-bank,Berenberg Bank ,Europe,Germany,DEU,yapi-ve-kredibankasi-as-istanbul-turkey-tur,Yapi Ve Kredibankasi A.S.,Asia,Turkey,TUR,4,2436000
223684,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 7, 2014",2014,"Feb 27, 2014",2014,berenberg-bank,Berenberg Bank ,Europe,Germany,DEU,abn-amro-bank-nv-amsterdam-netherlands-nld,ABN Amro Bank N.V.,Europe,Netherlands,NLD,3,4035652.52
223685,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 24, 2014",2014,"Feb 24, 2014",2014,entie-commercial-bank,Entie Commercial Bank ,Asia,Taiwan,TWN,bank-sinopac-hong-kong-hkg,Bank Sinopac,Asia,Hong Kong,HKG,1,28000000
223686,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 18, 2014",2014,"Feb 18, 2014",2014,credit-suisse-ag,Credit Suisse AG,Europe,Switzerland,CHE,bank-of-america-na-new-york-ny-usa,Bank of America N.A. ,North America,United States,USA,1,4000000
223687,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 4, 2014",2014,"Feb 23, 2014",2014,commonwealth-bank-of-australia,Commonwealth Bank of Australia,Australia,Australia,AUS,deutsche-bank-ag-prague-czech-republic-cze,Deutsche Bank AG,Europe,Czech Republic,CZE,2,5397069.22
223688,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 7, 2014",2014,"Feb 11, 2014",2014,mauritius-commercial-bank-ltd,Mauritius Commercial Bank Ltd,Africa,Mauritius,MUS,banque-de-commerce-et-de-placements-s-a-geneva-switzerland-che,Banque De Commerce Et De Placements S A ,Europe,Switzerland,CHE,2,2956552
223689,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 6, 2014",2014,"Feb 19, 2014",2014,sberbank,Sberbank,Europe,Switzerland,CHE,vp-bank-luxembourg-sa-luxembourg-lux,VP Bank,Europe,Luxembourg,LUX,2,2970217.07
223690,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 10, 2014",2014,"Feb 10, 2014",2014,dbs-bank,DBS Bank,Asia,China,CHN,china-construction-bank-corporation-ningbo-china-chn,China Construction Bank Corporation,Asia,China,CHN,1,3600000
223691,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 11, 2014",2014,"Feb 11, 2014",2014,cor-clearing-llc,"Cor Clearing, Llc ",North America,United States,USA,rietumu-banka-jsc-riga-latvia-lva,Rietumu Banka JSC,Europe,Latvia,LVA,1,2250000
223692,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 5, 2014",2014,"Feb 5, 2014",2014,bsi-sa,BSI SA,Europe,Switzerland,CHE,dbs-bank-ltd-singapore-sgp,DBS Bank Ltd,Asia,Singapore,SGP,1,40075000
223694,2971,mitsubishi-ufj-financial-group-inc,"Mitsubishi UFJ Financial Group, Inc.",Mitsubishi UFJ,"Nov 7, 2013",2013,"Nov 7, 2013",2013,bank-of-tokyo-mitsubishi-ufj-ltd-chicago-branch,"Bank of Tokyo-Mitsubishi Ufj, Ltd.  Chicago Branch",North America,United States,USA,rietumu-banka-latvia-lva,Rietumu Banka,Europe,Latvia,LVA,1,270420
223873,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 1, 2013",2013,"Mar 27, 2013",2013,berenberg-bank,Berenberg Bank,Europe,Germany,DEU,yapi-ve-kredi-bankasi-as-istanbul-turkey-tur,Yapi Ve Kredi Bankasi A.S.,Asia,Turkey,TUR,6,2400018
223874,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 7, 2013",2013,"Mar 22, 2013",2013,sberbank-of-russia,Sberbank of Russia,Europe,Russia,RUS,bank-of-taiwan-hong-kong-hkg,Bank of Taiwan,Asia,Hong Kong,HKG,3,1750000
223875,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 15, 2013",2013,"Mar 15, 2013",2013,hua-nan-commercial-bank-ltd,"Hua Nan Commercial Bank, Ltd",Asia,Hong Kong,HKG,shanghai-pudong-development-bank-shanghai-china-chn,Shanghai Pudong Development Bank,Asia,China,CHN,1,300000
223876,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 4, 2013",2013,"Mar 26, 2013",2013,hua-nan-commercial-bank-ltd,"Hua Nan Commercial Bank, Ltd",Asia,Hong Kong,HKG,bank-of-ningbo-co-ltd-ningbo-china-chn,"Bank of Ningbo Co., Ltd.",Asia,China,CHN,3,2012944.86
223877,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 19, 2013",2013,"Mar 19, 2013",2013,ping-an-bank-co-ltd,Ping An Bank Co Ltd,Asia,China,CHN,shanghai-pudong-development-bank-shanghai-china-chn,Shanghai Pudong Development Bank,Asia,China,CHN,1,3248764
223878,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 15, 2013",2013,"Mar 19, 2013",2013,chinatrust-commercial-bank,Chinatrust Commercial Bank,Asia,Hong Kong,HKG,china-construction-bank-beijing-china-chn,China Construction Bank,Asia,China,CHN,2,2000385
223879,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 14, 2013",2013,"Mar 14, 2013",2013,chinatrust-commercial-bank,Chinatrust Commercial Bank,Asia,Hong Kong,HKG,industrial-and-comml-bank-of-china-fuzhou-china-chn,Industrial And Comm'L Bank of China,Asia,China,CHN,1,1254203
223880,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 18, 2013",2013,"Mar 28, 2013",2013,united-overseas-bank-limited,United Overseas Bank Limited,Asia,Singapore,SGP,bank-vontobel-ag-zurich-switzerland-che,Bank Vontobel AG,Europe,Switzerland,CHE,8,3985000
223881,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 1, 2013",2013,"Mar 26, 2013",2013,berenberg-bank,Berenberg Bank,Europe,Germany,DEU,abn-amro-bank-nv-amsterdam-netherlands-nld,ABN Amro Bank N.V.,Europe,Netherlands,NLD,3,4388917.58
223882,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 8, 2013",2013,"Mar 8, 2013",2013,dbs-bank-ltd-singapore,"DBS Bank Ltd, Singapore",Asia,Singapore,SGP,agricultural-bank-of-china-qingdao-china-chn,Agricultural Bank of China,Asia,China,CHN,1,1501920
223883,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 1, 2013",2013,"Mar 1, 2013",2013,dbs-bank-ltd,DBS Bank Ltd,Asia,Singapore,SGP,ping-an-bank-co-ltd-shenzen-china-chn,"Ping An Bank Co., Ltd.",Asia,China,CHN,1,3834432
223884,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 6, 2013",2013,"Mar 14, 2013",2013,ap-anlage-und-privatbank-ag,Ap Anlage Und PrivatBank AG,Europe,Switzerland,CHE,azerpost-baku-azerbaijan-aze,Azerpost,Asia,Azerbaijan,AZE,3,5499955.67
223885,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 8, 2013",2013,"Mar 8, 2013",2013,hsbc-bank,HSBC Bank,Europe,United Kingdom,GBR,dnb-bank-asa-oslo-norway-nor,DNB Bank Asa,Europe,Norway,NOR,1,9199004
223886,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 12, 2013",2013,"Mar 12, 2013",2013,banque-de-commerce-et-de-placements-sa,Banque De Commerce Et De Placements SA,Europe,Switzerland,CHE,abn-amro-bank-nv-amsterdam-netherlands-nld,ABN Amro Bank N.V.,Europe,Netherlands,NLD,1,54988.89
223887,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 7, 2013",2013,"Mar 26, 2013",2013,abn-amro-bank-nv,ABN Amro Bank N.V.,Europe,Netherlands,NLD,credit-suisse-ag-geneva-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,2,13800000
223898,3716,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 21, 2013",2013,"Feb 28, 2013",2013,bank-of-shanghai,Bank of Shanghai ,Asia,China,CHN,bank-dbs-indonesia-jakarta-indonesia-idn,"Bank DBS Indonesia (Jakarta, Indonesia)",Asia,Indonesia,IDN,2,1999978
223903,3716,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 15, 2013",2013,"Feb 15, 2013",2013,abn-amro-bank-nv-amsterdam-netherlands-nld,"ABN Amro Bank N.V. (Amsterdam, Netherlands)",Europe,Netherlands,NLD,credit-suisse-ag-zurich-switzerland-che,"Credit Suisse Ag (Zurich, Switzerland)",Europe,Switzerland,CHE,1,2431100
223904,3716,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 6, 2013",2013,"Feb 25, 2013",2013,berenberg-bank,Berenberg Bank,Europe,Germany,DEU,abn-amro-bank-nv-amsterdam-netherlands-nld,"ABN Amro Bank N.V. (Amsterdam, Netherlands)",Europe,Netherlands,NLD,4,7261295.76
223905,3716,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 1, 2013",2013,"Feb 22, 2013",2013,anlage-und-privatbank-ag,Anlage Und PrivatBank Ag ,Europe,Germany,DEU,azerpost-baku-azerbaijan-aze,Azerpost,Asia,Azerbaijan,AZE,5,7699923.89
223907,3716,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 20, 2013",2013,"Feb 20, 2013",2013,bank-hapoalim,Bank Hapoalim,Europe,Switzerland,CHE,barclays-capital-inc-new-york-ny-usa,Barclays Capital Inc,North America,United States,USA,1,11000000
223908,3716,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 19, 2013",2013,"Feb 19, 2013",2013,kbl-european-private-bankers-sa-luxembourg-lux,"Kbl European Private Bankers S.A,  Luxembourg",Europe,Luxembourg,LUX,banque-de-gestion-edmond-de-rothschild-monaco-monaco-mco,Banque De Gestion Edmond De Rothschild ,Europe,Monaco,MCO,1,17600000
223909,3716,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Feb 20, 2013",2013,"Feb 20, 2013",2013,coutts-bank-von-ernst-ltd,Coutts Bank Von Ernst Ltd. ,Europe,Switzerland,CHE,banque-privee-edmond-de-rothchild-luxembourg-lux,Banque Privee Edmond De Rothchild,Europe,Luxembourg,LUX,1,20750000
223984,2712,deutsche-bank-ag,Deutsche Bank AG,Deutsche Bank,"Jan 16, 2014",2014,"Jan 16, 2014",2014,sberbank-srbija-ad,Sberbank Srbija Ad,Europe,Serbia,SRB,ubs-ag-stamford-branch-us-usa,UBS AG Stamford Branch,North America,United States,USA,1,29204
223986,2765,societe-generale-sa,Societe Generale SA,Societe Generale,"Jul 28, 2016",2016,"Jul 28, 2016",2016,societe-generale-private-banking,Societe Generale Private Banking,Europe,Switzerland,CHE,gazprombank-moscow-the-russian-federation-rus,Gazprombank,Europe,Russia,RUS,1,13526
223991,3062,ofg-bancorp,OFG Bancorp,OFG Bancorp,"May 26, 2015",2015,"May 26, 2015",2015,deutsche-bank-ag-taunusanlage-12,Deutsche Bank AG Taunusanlage 12 ,Europe,Germany,DEU,oriental-bank-puerto-rico-us-pri,Oriental Bank,North America,Puerto Rico,PRI,1,167000
224001,2848,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Dec 16, 2013",2013,"Jan 15, 2014",2014,investkapitalbank,Investkapitalbank,Europe,Russia,RUS,turkiye-garanti-bankasi-as-istanbul-turkey-tur,Turkiye Garanti Bankasi A.S.,Asia,Turkey,TUR,2,7750
224002,2848,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Dec 31, 2013",2013,"Apr 1, 2014",2014,investkapitalbank,Investkapitalbank,Europe,Russia,RUS,kuwait-turkish-participation-bk-inc-istanbul-turkey-tur,Kuwait Turkish Participation Bk Inc,Asia,Turkey,TUR,3,9000
224003,2848,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Dec 5, 2013",2013,"Apr 3, 2014",2014,investkapitalbank,Investkapitalbank,Europe,Russia,RUS,yapi-ve-kredi-bankasi-as-istanbul-turkey-tur,Yapi Ve Kredi Bankasi A.S.,Asia,Turkey,TUR,7,31000
224004,2848,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 28, 2014",2014,"Apr 28, 2014",2014,promsvyazbank,Promsvyazbank,Europe,Russia,RUS,rosbank-moscow-russia-rus,Rosbank,Europe,Russia,RUS,1,40000
224005,2848,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 28, 2014",2014,"Apr 28, 2014",2014,promsvyazbank,Promsvyazbank,Europe,Russia,RUS,credit-union-payment-center-ltd-novosibirsk-russia-rus,Credit Union Payment Center Ltd,Europe,Russia,RUS,1,30000
224017,3038,bank-of-america-corp,Bank of America Corp.,Bank of America,"Aug 14, 2014",2014,"Aug 14, 2014",2014,ing-bank-nv,ING Bank NV,Europe,Netherlands,NLD,deutsche-bank-ag-london-branch-gbr,Deutsche Bank AG,Europe,United Kingdom,GBR,1,45700000
224019,4399,standard-chartered-plc,Standard Chartered Plc,Standard Chartered,"Apr 30, 2014",2014,"Sep 22, 2014",2014,national-bk-of-ras-al-khaimah-psc,National Bk of Ras Al Khaimah Psc,Asia,United Arab Emirates,ARE,bank-of-baroda-united-arab-emirates-are,Bank of Baroda,Asia,United Arab Emirates,ARE,3,166157.08
224028,3064,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 16, 2015",2015,"Apr 16, 2015",2015,usaa-federal-savings-bank,Usaa Federal Savings Bank,North America,United States,USA,commonwealth-bank-of-australia-sydney-australia-aus,Commonwealth Bank of Australia,Australia,Australia,AUS,1,10000
224044,3482,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 20, 2014",2014,"Mar 20, 2014",2014,bank-of-communications,Bank of Communications,Asia,China,CHN,ping-an-bank-co-ltd-shenzhen-china-chn,Ping An Bank Co Ltd,Asia,China,CHN,2,3512000
224045,3482,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 18, 2014",2014,"Mar 18, 2014",2014,bmi-offshore-bank-ltd,BMI Offshore Bank Ltd,Asia,Seychelles,SYC,emirates-nbd-bank-pjsc-deira-dubai-uae-are,Emirates Nbd Bank PJSC,Asia,United Arab Emirates,ARE,1,6000000
224046,3482,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 3, 2014",2014,"Mar 27, 2014",2014,berenberg-bank,Berenberg Bank,Europe,Germany,DEU,abn-amro-bank-nv-amsterdam-netherlands-nld,ABN Amro Bank N.V.,Europe,Netherlands,NLD,5,6132493.6
224047,3482,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 7, 2014",2014,"Mar 7, 2014",2014,china-merchants-bank,China Merchants Bank,Asia,China,CHN,credit-suisse-singapore-branch-singapore-sgp,Credit Suisse Singapore Branch,Asia,Singapore,SGP,1,5285839.33
